Id,SL,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,zeros
123,7,2.8,6.7,2.0,Iris-virginica,44.89
124,6,2.7,4.9,1.8,Iris-virginica,24.010000000000005
125,6,3.3,5.7,2.1,Iris-virginica,32.49
126,7,3.2,6.0,1.8,Iris-virginica,36.0
127,6,2.8,4.8,1.8,Iris-virginica,23.04
128,6,3.0,4.9,1.8,Iris-virginica,24.010000000000005
129,6,2.8,5.6,2.1,Iris-virginica,31.359999999999996
130,7,3.0,5.8,1.6,Iris-virginica,33.64
131,7,2.8,6.1,1.9,Iris-virginica,37.209999999999994
132,7,3.8,6.4,2.0,Iris-virginica,40.96000000000001
133,6,2.8,5.6,2.2,Iris-virginica,31.359999999999996
134,6,2.8,5.1,1.5,Iris-virginica,26.009999999999998
135,6,2.6,5.6,1.4,Iris-virginica,31.359999999999996
136,7,3.0,6.1,2.3,Iris-virginica,37.209999999999994
137,6,3.4,5.6,2.4,Iris-virginica,31.359999999999996
138,6,3.1,5.5,1.8,Iris-virginica,30.25
139,6,3.0,4.8,1.8,Iris-virginica,23.04
140,6,3.1,5.4,2.1,Iris-virginica,29.160000000000004
141,6,3.1,5.6,2.4,Iris-virginica,31.359999999999996
142,6,3.1,5.1,2.3,Iris-virginica,26.009999999999998
143,5,2.7,5.1,1.9,Iris-virginica,26.009999999999998
144,6,3.2,5.9,2.3,Iris-virginica,34.81
145,6,3.3,5.7,2.5,Iris-virginica,32.49
146,6,3.0,5.2,2.3,Iris-virginica,27.040000000000003
147,6,2.5,5.0,1.9,Iris-virginica,25.0
148,6,3.0,5.2,2.0,Iris-virginica,27.040000000000003
149,6,3.4,5.4,2.3,Iris-virginica,29.160000000000004
150,5,3.0,5.1,1.8,Iris-virginica,26.009999999999998
